ds,n,nl,clf,KFolds,TRE_mean,TRE_std,TESTE_mean,TESTE_std,E_DIFF,Regularization
Moon,100,0.3,svm,5,0.5974999999999999,0.049623583103198025,0.37,0.08124038404635961,-0.22749999999999992,0.005
Moon,100,0.3,svm,5,0.74,0.02549509756796391,0.6799999999999999,0.09273618495495704,-0.06000000000000005,0.01
Moon,100,0.3,svm,5,0.7925000000000001,0.028062430400804573,0.77,0.09797958971132714,-0.022500000000000075,0.1
Moon,100,0.3,svm,5,0.8625,0.020916500663351895,0.8099999999999999,0.10677078252031309,-0.0525000000000001,0.5
Moon,100,0.3,svm,5,0.8825,0.02179449471770337,0.8299999999999998,0.0812403840463596,-0.0525000000000001,1.0
Moon,100,0.3,svm,5,0.9175000000000001,0.02573907535246752,0.8800000000000001,0.08124038404635961,-0.03749999999999998,5.0
Moon,100,0.3,svm,5,0.9375,0.02622022120425379,0.8699999999999999,0.08124038404635961,-0.06750000000000012,10.0
Moon,100,0.3,svm,5,0.9974999999999999,0.004999999999999982,0.61,0.12409673645990855,-0.38749999999999996,100.0
Moon,100,0.3,svm,5,1.0,0.0,0.36,0.08,-0.64,1000.0
Moon,100,0.4,svm,5,0.5900000000000001,0.10647769719523428,0.56,0.1392838827718412,-0.030000000000000027,0.001
Moon,100,0.4,svm,5,0.675,0.11429129450662459,0.63,0.15362291495737215,-0.04500000000000004,0.005
Moon,100,0.4,svm,5,0.8074999999999999,0.023184046238739254,0.7699999999999999,0.06782329983125268,-0.03749999999999998,0.01
Moon,100,0.4,svm,5,0.8550000000000001,0.023184046238739254,0.8400000000000001,0.10677078252031312,-0.015000000000000013,0.1
Moon,100,0.4,svm,5,0.865,0.029999999999999978,0.8400000000000001,0.10198039027185568,-0.02499999999999991,0.5
Moon,100,0.4,svm,5,0.8799999999999999,0.03221024681681283,0.86,0.09165151389911678,-0.019999999999999907,1.0
Moon,100,0.4,svm,5,0.9125,0.017677669529663705,0.85,0.09486832980505137,-0.0625,5.0
Moon,100,0.4,svm,5,0.9349999999999999,0.014577379737113235,0.8,0.09999999999999998,-0.1349999999999999,10.0
Moon,100,0.4,svm,5,1.0,0.0,0.6599999999999999,0.08602325267042626,-0.3400000000000001,100.0
Moon,100,0.4,svm,5,1.0,0.0,0.55,0.08944271909999157,-0.44999999999999996,1000.0
Moon,100,0.5,svm,5,0.5349999999999999,0.021505813167606556,0.45,0.10488088481701519,-0.08499999999999991,0.001
Moon,100,0.5,svm,5,0.6950000000000001,0.0718505393159996,0.66,0.16552945357246848,-0.03500000000000003,0.005
Moon,100,0.5,svm,5,0.7975,0.031024184114977142,0.76,0.1319090595827292,-0.03749999999999998,0.01
Moon,100,0.5,svm,5,0.8450000000000001,0.026925824035672518,0.8300000000000001,0.08717797887081347,-0.015000000000000013,0.1
Moon,100,0.5,svm,5,0.8549999999999999,0.02318404623873926,0.8400000000000001,0.07348469228349536,-0.014999999999999791,0.5
Moon,100,0.5,svm,5,0.8574999999999999,0.02031009601158988,0.85,0.08366600265340754,-0.007499999999999951,1.0
Moon,100,0.5,svm,5,0.8800000000000001,0.012747548783981951,0.8099999999999999,0.04898979485566355,-0.07000000000000017,5.0
Moon,100,0.5,svm,5,0.915,0.02000000000000001,0.78,0.05099019513592786,-0.135,10.0
Moon,100,0.5,svm,5,1.0,0.0,0.6199999999999999,0.09273618495495702,-0.3800000000000001,100.0
Moon,100,0.5,svm,5,1.0,0.0,0.48,0.07483314773547885,-0.52,1000.0
Moon,1000,0.0,svm,5,0.785,0.008551315688243539,0.7850000000000001,0.03535533905932738,1.1102230246251565e-16,0.001
Moon,1000,0.0,svm,5,0.83575,0.006354132513569431,0.835,0.026645825188948445,-0.0007500000000000284,0.005
Moon,1000,0.0,svm,5,0.8462500000000001,0.0052440442408507575,0.845,0.030659419433511772,-0.0012500000000000844,0.01
Moon,1000,0.0,svm,5,0.87325,0.006736096792653723,0.875,0.024494897427831803,0.0017500000000000293,0.1
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,0.5
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,1.0
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,5.0
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,10.0
